# time,voltage,current
1631230200000.0,0.2,0.0
1631233800000.0,0.26,0.0
1631237400000.0,0.41,0.0
1631241000000.0,0.43,0.0
1631244600000.0,0.57,0.0
1631248200000.0,0.98,0.0
1631251800000.0,25.58,0.0
1631255400000.0,225.71,0.14
1631259000000.0,291.17,0.47
1631262600000.0,306.58,2.02
1631266200000.0,306.73,2.63
1631269800000.0,303.73,4.11
1631273400000.0,295.11,4.81
1631277000000.0,301.16,4.31
1631280600000.0,307.03,2.61
1631284200000.0,308.4,2.17
1631287800000.0,309.35,1.98
1631291400000.0,311.05,1.58
1631295000000.0,301.45,0.72
1631298600000.0,272.07,0.34
1631302200000.0,81.47,0.0
1631305800000.0,1.33,0.0
1631309400000.0,1.23,0.0
1631313000000.0,0.75,0.0
1631316600000.0,0.11,0.0
1631320200000.0,0.13,0.0
1631323800000.0,0.12,0.0
1631327400000.0,0.12,0.0
1631331000000.0,0.13,0.0
1631334600000.0,0.66,0.0
1631338200000.0,29.66,0.0
1631341800000.0,231.89,0.26
1631345400000.0,314.32,0.9
1631349000000.0,319.16,2.09
1631352600000.0,306.99,3.61
1631356200000.0,305.03,3.42
1631359800000.0,302.16,2.07
1631363400000.0,308.49,2.2
1631367000000.0,305.56,2.16
1631370600000.0,310.38,1.84
1631374200000.0,308.28,1.34
1631377800000.0,305.24,1.15
1631381400000.0,297.56,0.53
1631385000000.0,265.35,0.14
1631388600000.0,56.72,0.0
1631392200000.0,1.19,0.0
1631395800000.0,1.2,0.0
1631399400000.0,0.77,0.0
1631403000000.0,0.18,0.0
1631406600000.0,0.19,0.0
1631410200000.0,0.26,0.0
1631413800000.0,0.29,0.0
1631417400000.0,0.3,0.0
1631421000000.0,0.34,0.0
1631424600000.0,15.92,0.0
1631428200000.0,193.41,0.0
1631431800000.0,281.67,0.15
1631435400000.0,297.87,0.31
1631439000000.0,310.27,0.69
1631442600000.0,309.83,0.72
1631446200000.0,310.18,0.83
1631449800000.0,313.12,1.08
1631453400000.0,314.17,1.31
1631457000000.0,313.74,1.37
1631460600000.0,312.22,1.17
1631464200000.0,305.65,0.76
1631467800000.0,302.74,0.68
1631471400000.0,275.54,0.33
1631475000000.0,51.91,0.0
1631478600000.0,0.65,0.0
1631482200000.0,0.66,0.0
1631485800000.0,0.47,0.0
1631489400000.0,0.65,0.0
1631493000000.0,0.72,0.0
1631496600000.0,0.54,0.0
1631500200000.0,0.69,0.0
1631503800000.0,0.51,0.0
1631507400000.0,0.96,0.0
1631511000000.0,18.69,0.0
1631514600000.0,121.99,0.0
1631518200000.0,272.45,0.28
1631521800000.0,309.13,0.99
1631525400000.0,313.09,1.72
1631529000000.0,314.29,1.77
1631532600000.0,313.1,1.76
1631536200000.0,311.35,1.77
1631539800000.0,305.46,1.05
1631543400000.0,306.73,0.93
1631547000000.0,304.72,0.91
1631550600000.0,307.61,1.08
1631554200000.0,298.39,0.73
1631557800000.0,248.17,0.26
1631561400000.0,35.94,0.0
1631565000000.0,1.47,0.0
1631568600000.0,1.5,0.0
1631572200000.0,1.14,0.0
1631575800000.0,0.5,0.0
1631579400000.0,0.41,0.0
1631583000000.0,0.49,0.0
1631586600000.0,0.34,0.0
1631590200000.0,0.46,0.0
1631593800000.0,0.8,0.0
1631597400000.0,19.95,0.0
1631601000000.0,186.25,0.14
1631604600000.0,283.03,0.53
1631608200000.0,298.11,0.68
1631611800000.0,301.21,0.67
1631615400000.0,299.2,0.52
1631619000000.0,305.97,0.84
1631622600000.0,314.42,1.59
1631626200000.0,305.36,1.66
1631629800000.0,302.26,0.88
1631633400000.0,305.1,1.06
1631637000000.0,297.01,0.68
1631640600000.0,290.0,0.51
1631644200000.0,249.97,0.19
1631647800000.0,46.5,0.0
1631651400000.0,1.73,0.0
1631655000000.0,1.73,0.0
1631658600000.0,1.4,0.0
1631662200000.0,0.56,0.0
1631665800000.0,0.41,0.0
1631669400000.0,0.4,0.0
1631673000000.0,0.27,0.0
1631676600000.0,0.21,0.0
1631680200000.0,0.7,0.0
1631683800000.0,18.79,0.0
1631687400000.0,190.27,0.26
1631691000000.0,301.12,0.72
1631694600000.0,313.25,1.77
1631698200000.0,303.16,4.03
1631701800000.0,303.59,3.2
1631705400000.0,302.53,3.06
