# time,airtemp,celltemp
1630837800000.0,17.06,19.24
1630841400000.0,18.73,22.03
1630845000000.0,20.22,24.51
1630848600000.0,19.94,24.1
1630852200000.0,19.18,22.25
1630855800000.0,19.85,24.93
1630859400000.0,20.0,25.18
1630863000000.0,18.69,21.42
1630866600000.0,18.05,19.84
1630870200000.0,17.68,19.22
1630873800000.0,17.34,18.71
1630877400000.0,17.12,18.46
1630881000000.0,16.8,18.06
1630884600000.0,16.47,17.85
1630888200000.0,16.51,18.27
1630891800000.0,16.42,18.38
1630895400000.0,16.52,18.42
1630899000000.0,16.57,18.59
1630902600000.0,16.52,18.5
1630906200000.0,16.52,18.28
1630909800000.0,16.73,18.6
1630913400000.0,17.19,19.96
1630917000000.0,18.02,21.88
1630920600000.0,19.5,25.1
1630924200000.0,21.45,30.65
1630927800000.0,22.7,33.71
1630931400000.0,23.93,39.06
1630935000000.0,24.0,46.24
1630938600000.0,23.6,44.64
1630942200000.0,23.19,41.15
1630945800000.0,22.22,35.41
1630949400000.0,21.03,26.43
1630953000000.0,18.18,18.79
1630956600000.0,16.57,16.12
1630960200000.0,16.32,16.87
1630963800000.0,16.41,17.7
1630967400000.0,16.39,17.99
1630971000000.0,16.52,18.15
1630974600000.0,16.38,18.0
1630978200000.0,16.28,17.95
1630981800000.0,16.2,17.84
1630985400000.0,16.14,17.79
1630989000000.0,15.48,16.11
1630992600000.0,13.74,13.76
1630996200000.0,14.08,14.06
1630999800000.0,17.45,18.93
1631003400000.0,20.08,25.7
1631007000000.0,21.58,30.39
1631010600000.0,23.89,35.63
1631014200000.0,25.18,40.36
1631017800000.0,25.77,41.43
1631021400000.0,25.78,42.3
1631025000000.0,25.74,41.22
1631028600000.0,25.3,36.92
1631032200000.0,24.31,32.23
1631035800000.0,22.28,25.03
1631039400000.0,20.84,21.32
1631043000000.0,20.56,20.78
1631046600000.0,20.38,20.79
1631050200000.0,20.27,20.76
1631053800000.0,19.37,19.11
1631057400000.0,19.38,19.07
1631061000000.0,19.3,19.74
1631064600000.0,18.59,18.43
1631068200000.0,18.54,18.47
1631071800000.0,18.63,18.55
1631075400000.0,18.27,18.26
