# time, west PV power
1628613000000.00,349.18
1628616600000.00,186.28
1628620200000.00,114.72
1628623800000.00,25.40
1628627400000.00,0.70
1628631000000.00,0.02
1628634600000.00,0.00
1628638200000.00,0.00
1628641800000.00,0.01
1628645400000.00,0.00
1628649000000.00,0.00
1628652600000.00,0.00
1628656200000.00,0.13
1628659800000.00,3.46
1628663400000.00,60.92
1628667000000.00,174.18
1628670600000.00,361.13
1628674200000.00,851.64
1628677800000.00,1108.36
1628681400000.00,1630.44
1628685000000.00,1752.66
1628688600000.00,1373.81
1628692200000.00,1287.91
1628695800000.00,1279.74
1628699400000.00,806.03
1628703000000.00,355.89
1628706600000.00,111.79
1628710200000.00,49.70
1628713800000.00,1.09
1628717400000.00,0.00
1628721000000.00,0.00
1628724600000.00,0.00
1628728200000.00,0.00
1628731800000.00,0.00
1628735400000.00,0.00
1628739000000.00,0.00
1628742600000.00,0.00
1628746200000.00,10.00
1628749800000.00,190.13
1628753400000.00,792.44
1628757000000.00,807.78
1628760600000.00,1026.99
1628764200000.00,977.09
1628767800000.00,1660.07
1628771400000.00,1495.41
1628775000000.00,1020.25
1628778600000.00,1537.17
1628782200000.00,1120.07
1628785800000.00,861.51
1628789400000.00,363.41
1628793000000.00,162.90
1628796600000.00,48.01
1628800200000.00,1.14
1628803800000.00,0.00
1628807400000.00,0.00
1628811000000.00,0.00
1628814600000.00,0.00
1628818200000.00,0.00
1628821800000.00,0.00
1628825400000.00,0.00
1628829000000.00,0.00
1628832600000.00,39.50
1628836200000.00,144.70
1628839800000.00,308.12
1628843400000.00,1118.86
1628847000000.00,1646.10
1628850600000.00,1493.36
1628854200000.00,1896.55
1628857800000.00,1768.11
1628861400000.00,1607.66
1628865000000.00,1363.69
1628868600000.00,873.66
1628872200000.00,551.98
1628875800000.00,363.96
1628879400000.00,137.28
1628883000000.00,31.54
1628886600000.00,1.78
1628890200000.00,0.01
1628893800000.00,0.00
1628897400000.00,0.00
1628901000000.00,0.00
1628904600000.00,0.00
1628908200000.00,0.00
1628911800000.00,0.00
1628915400000.00,0.00
1628919000000.00,8.82
1628922600000.00,73.41
1628926200000.00,255.78
1628929800000.00,321.75
1628933400000.00,335.20
1628937000000.00,452.07
1628940600000.00,534.23
1628944200000.00,478.02
1628947800000.00,454.89
1628951400000.00,653.03
1628955000000.00,482.29
1628958600000.00,427.33
1628962200000.00,346.85
1628965800000.00,132.39
1628969400000.00,28.61
1628973000000.00,0.00
1628976600000.00,0.00
1628980200000.00,0.00
1628983800000.00,0.00
1628987400000.00,0.00
1628991000000.00,0.00
1628994600000.00,0.00
1628998200000.00,0.00
1629001800000.00,0.00
1629005400000.00,8.24
1629009000000.00,77.74
1629012600000.00,311.64
1629016200000.00,426.95
1629019800000.00,550.02
