# time,irradiance west
1633699800000.0,174.91
1633703400000.0,130.25
1633707000000.0,143.96
1633710600000.0,41.91
1633714200000.0,6.97
1633717800000.0,0.1
1633721400000.0,0.03
1633725000000.0,0.02
1633728600000.0,0.03
1633732200000.0,0.02
1633735800000.0,0.04
1633739400000.0,0.01
1633743000000.0,0.01
1633746600000.0,0.02
1633750200000.0,0.0
1633753800000.0,0.0
1633757400000.0,0.0
1633761000000.0,0.39
1633764600000.0,16.9
1633768200000.0,59.53
1633771800000.0,115.59
1633775400000.0,114.6
1633779000000.0,162.57
1633782600000.0,295.63
1633786200000.0,434.28
1633789800000.0,406.77
1633793400000.0,335.32
1633797000000.0,98.73
1633800600000.0,16.35
1633804200000.0,0.3
1633807800000.0,0.02
1633811400000.0,0.01
1633815000000.0,0.0
1633818600000.0,0.0
1633822200000.0,0.0
1633825800000.0,0.0
1633829400000.0,0.02
1633833000000.0,0.02
1633836600000.0,0.02
1633840200000.0,0.0
1633843800000.0,0.01
1633847400000.0,1.52
1633851000000.0,29.71
1633854600000.0,88.64
1633858200000.0,149.09
1633861800000.0,304.97
1633865400000.0,407.43
1633869000000.0,465.43
1633872600000.0,452.81
1633876200000.0,428.11
1633879800000.0,299.95
1633883400000.0,88.18
1633887000000.0,14.39
1633890600000.0,0.16
1633894200000.0,0.0
1633897800000.0,0.01
1633901400000.0,0.01
1633905000000.0,0.03
1633908600000.0,0.0
1633912200000.0,0.0
1633915800000.0,0.01
1633919400000.0,0.01
1633923000000.0,0.0
1633926600000.0,0.01
1633930200000.0,0.01
1633933800000.0,1.26
1633937400000.0,38.75
1633941000000.0,100.28
1633944600000.0,193.57
1633948200000.0,268.72
1633951800000.0,395.17
1633955400000.0,370.27
1633959000000.0,337.98
1633962600000.0,364.7
1633966200000.0,315.98
1633969800000.0,84.2
1633973400000.0,15.88
1633977000000.0,0.14
1633980600000.0,0.01
1633984200000.0,0.01
1633987800000.0,0.0
1633991400000.0,0.03
1633995000000.0,0.01
1633998600000.0,0.0
1634002200000.0,0.01
1634005800000.0,0.02
1634009400000.0,0.0
1634013000000.0,0.02
1634016600000.0,0.0
1634020200000.0,1.0
1634023800000.0,28.88
1634027400000.0,80.49
1634031000000.0,124.33
1634034600000.0,249.63
1634038200000.0,202.53
1634041800000.0,234.62
1634045400000.0,257.78
1634049000000.0,176.48
1634052600000.0,68.13
1634056200000.0,41.53
1634059800000.0,12.94
1634063400000.0,0.12
1634067000000.0,0.0
1634070600000.0,0.01
1634074200000.0,0.02
1634077800000.0,0.0
1634081400000.0,0.01
1634085000000.0,0.01
1634088600000.0,0.03
1634092200000.0,0.0
1634095800000.0,0.0
1634099400000.0,0.01
1634103000000.0,0.0
1634106600000.0,0.46
1634110200000.0,24.81
1634113800000.0,82.11
1634117400000.0,116.12
1634121000000.0,218.38
1634124600000.0,153.65
