# time,rain_mm
1636032600000.0,0.0
1636036200000.0,0.0
1636039800000.0,0.0
1636043400000.0,0.0
1636047000000.0,0.0
1636050600000.0,0.0
1636054200000.0,0.0
1636057800000.0,0.0
1636061400000.0,0.0
1636065000000.0,0.0
1636068600000.0,0.0
1636072200000.0,0.0
1636075800000.0,0.0
1636079400000.0,0.0
1636083000000.0,0.0
1636086600000.0,0.0
1636090200000.0,0.0
1636093800000.0,0.0
1636097400000.0,0.0
1636101000000.0,0.0
1636104600000.0,0.0
1636108200000.0,0.0
1636111800000.0,0.0
1636115400000.0,0.0
1636119000000.0,0.0
1636122600000.0,0.0
1636126200000.0,0.0
1636129800000.0,0.0
1636133400000.0,0.0
1636137000000.0,0.0
1636140600000.0,0.0
1636144200000.0,0.0
1636147800000.0,0.0
1636151400000.0,0.0
1636155000000.0,0.0
1636158600000.0,0.0
1636162200000.0,0.0
1636165800000.0,0.0
1636169400000.0,0.0
1636173000000.0,0.0
1636176600000.0,0.0
1636180200000.0,0.0
1636183800000.0,0.0
1636187400000.0,0.0
1636191000000.0,0.0
1636194600000.0,0.0
1636198200000.0,0.0
1636201800000.0,0.0
1636205400000.0,0.0
1636209000000.0,0.0
1636212600000.0,0.1
1636216200000.0,0.1
1636219800000.0,0.0
1636223400000.0,0.0
1636227000000.0,0.0
1636230600000.0,0.0
1636234200000.0,0.0
1636237800000.0,0.0
1636241400000.0,0.0
1636245000000.0,0.0
1636248600000.0,0.0
1636252200000.0,0.0
1636255800000.0,0.0
1636259400000.0,0.0
1636263000000.0,0.0
1636266600000.0,0.0
1636270200000.0,0.0
1636273800000.0,0.0
1636277400000.0,0.0
1636281000000.0,0.0
1636284600000.0,0.0
1636288200000.0,0.0
1636291800000.0,0.0
1636295400000.0,0.0
1636299000000.0,0.0
1636302600000.0,0.0
1636306200000.0,0.0
1636309800000.0,0.0
1636313400000.0,0.0
1636317000000.0,0.0
1636320600000.0,0.0
1636324200000.0,0.0
1636327800000.0,0.0
1636331400000.0,0.0
1636335000000.0,0.2
1636338600000.0,0.3
1636342200000.0,1.4
1636345800000.0,0.2
1636349400000.0,0.1
1636353000000.0,0.0
1636356600000.0,0.0
1636360200000.0,0.0
1636363800000.0,0.0
1636367400000.0,0.0
1636371000000.0,0.0
1636374600000.0,0.0
1636378200000.0,0.0
1636381800000.0,0.0
1636385400000.0,0.0
1636389000000.0,0.0
1636392600000.0,0.0
1636396200000.0,0.0
1636399800000.0,0.0
1636403400000.0,0.0
1636407000000.0,0.0
1636410600000.0,0.0
1636414200000.0,0.0
1636417800000.0,0.1
1636421400000.0,0.1
1636425000000.0,0.1
1636428600000.0,0.1
1636432200000.0,0.2
1636435800000.0,0.0
1636439400000.0,0.0
1636443000000.0,0.0
1636446600000.0,0.0
1636450200000.0,0.0
1636453800000.0,0.0
1636457400000.0,0.0
1636461000000.0,0.0
1636464600000.0,0.1
1636468200000.0,0.1
1636471800000.0,0.1
1636475400000.0,0.4
1636479000000.0,0.3
1636482600000.0,0.4
1636486200000.0,0.1
1636489800000.0,0.1
1636493400000.0,0.1
1636497000000.0,0.4
1636500600000.0,0.8
1636504200000.0,0.6
1636507800000.0,0.4
1636511400000.0,0.0
1636515000000.0,0.0
1636518600000.0,0.0
1636522200000.0,0.0
1636525800000.0,0.0
1636529400000.0,0.0
1636533000000.0,0.0
1636536600000.0,0.0
1636540200000.0,0.0
1636543800000.0,0.0
1636547400000.0,0.0
